order_id,product,category,quantity,price,created_at
1,Wireless Headphones,Electronics,2,89.99,2024-01-03
2,Running Shoes,Apparel,1,129.99,2024-01-05
3,Coffee Maker,Appliances,1,74.99,2024-01-07
4,Yoga Mat,Fitness,3,29.99,2024-01-09
5,Desk Lamp,Home Office,2,44.99,2024-01-11
6,Wireless Headphones,Electronics,1,89.99,2024-01-13
7,Backpack,Apparel,2,59.99,2024-01-15
8,Blender,Appliances,1,49.99,2024-01-17
9,Resistance Bands,Fitness,4,19.99,2024-01-19
10,Mechanical Keyboard,Electronics,1,129.99,2024-01-21
11,Running Shoes,Apparel,2,129.99,2024-01-23
12,Air Purifier,Appliances,1,199.99,2024-01-25
13,Dumbbell Set,Fitness,1,89.99,2024-01-27
14,Monitor Stand,Home Office,2,34.99,2024-01-29
15,Bluetooth Speaker,Electronics,1,79.99,2024-02-01
16,Winter Jacket,Apparel,1,149.99,2024-02-03
17,Coffee Maker,Appliances,2,74.99,2024-02-05
18,Jump Rope,Fitness,5,14.99,2024-02-07
19,Webcam,Electronics,1,99.99,2024-02-09
20,Desk Organizer,Home Office,3,24.99,2024-02-11
21,Wireless Headphones,Electronics,2,89.99,2024-02-13
22,Sneakers,Apparel,1,119.99,2024-02-15
23,Toaster Oven,Appliances,1,89.99,2024-02-17
24,Pull-up Bar,Fitness,1,39.99,2024-02-19
25,USB Hub,Electronics,2,29.99,2024-02-21
26,Hoodie,Apparel,3,54.99,2024-02-23
27,Rice Cooker,Appliances,1,59.99,2024-02-25
28,Yoga Mat,Fitness,2,29.99,2024-02-27
29,Laptop Stand,Home Office,1,49.99,2024-03-01
30,Smart Watch,Electronics,1,249.99,2024-03-03
31,Running Shoes,Apparel,1,129.99,2024-03-05
32,Blender,Appliances,2,49.99,2024-03-07
33,Protein Shaker,Fitness,4,12.99,2024-03-09
34,Wireless Mouse,Electronics,2,39.99,2024-03-11
35,Jeans,Apparel,2,79.99,2024-03-13
36,Slow Cooker,Appliances,1,69.99,2024-03-15
37,Foam Roller,Fitness,2,24.99,2024-03-17
38,Desk Pad,Home Office,3,19.99,2024-03-19
39,Mechanical Keyboard,Electronics,1,129.99,2024-03-21
40,Windbreaker,Apparel,1,99.99,2024-03-23
41,Coffee Maker,Appliances,1,74.99,2024-03-25
42,Resistance Bands,Fitness,3,19.99,2024-03-27
43,Smart Watch,Electronics,2,249.99,2024-03-29
44,Backpack,Apparel,1,59.99,2024-04-01
45,Air Fryer,Appliances,1,119.99,2024-04-03
46,Dumbbell Set,Fitness,2,89.99,2024-04-05
47,Monitor Stand,Home Office,1,34.99,2024-04-07
48,Bluetooth Speaker,Electronics,3,79.99,2024-04-09
49,Winter Jacket,Apparel,1,149.99,2024-04-11
50,Instant Pot,Appliances,1,89.99,2024-04-13
